,product_name,generic_name,brands,categories
0,Purée Pomme Myrtille sans sucres ajoutés,purée de pommes et de myrtilles sans sucres ajoutés issue de l'agriculture biologique,Biocoop,Compotes pommes myrtille
1,Abatilles Sainte Anne &quot;la Bordelaise&quot;,eau minérale naturelle,Abatilles,eau minérale
2,Kailo nouilles arôme poulet,,Kailo brand,
3,Blanc de poulet,Blanc de poulet cuit traité en salaison de qualité supérieure,U,Blancs de poulet
4,Bâtonnets savoureux,,Ronde des mers,
5,baby kiwi à grignoter,,Nergi,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Fruits et produits dérivés,Fruits"
6,Pure Premium Ananas pressés Mangues Pommes,Jus de 3 fruits flash pasteurisé,Tropicana,"Jus multifruits,Jus de fruits 100% pur jus"
7,Pain d'épices au sucre perlé,,Best Of,"Snacks sucrés,Biscuits et gâteaux,Pains d'épices"
8,Frit'max,,U,Frites
9,Potabio,Potage déshydraté aux algues,nat ali,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:fruits-and-vegetables-based-foods, en:dried-products, en:meals, en:dried-products-to-be-rehydrated, en:soups, en:vegetable-soups, en:dried-meals, en:dehydrated-soups, en:dehydrated-vegetable-soups"
10,Framboise Bio,Sorbet,Altiflore,Sorbets à la framboise
11,Abondance AOP (33% MG),,"Sans marque,Fromageries Chabert","Abondance,Fromages au lait cru,Fromages de vache"
12,Croky Chips Bolognese 18X200G,,Croky,
13,Confipote framboise,Confiture de framboises allégée en sucres,Materne,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Produits à tartiner,Petit-déjeuners,Fruits et produits dérivés,Pâtes à tartiner végétaux,Produits à tartiner sucrés,Confitures et marmelades,Confitures,Confitures de fruits,Confitures de fruits rouges,Confitures allégées,Confitures de framboises"
14,Pizza 4 fromages,,Picard,
15,Panna Cotta sur lit de Fruits Rouges ,Dessert lacté saveur vanille sur lit de fruits rouges,"Auchan,L'oiseau,Auchan Production,Groupe Auchan","Frais,Produits laitiers,Desserts,Desserts lactés,Pannacottas,Desserts lactés à la vanille,Cuisine italienne,Desserts italiens,Pannacottas sur lit de fruits rouges"
16,Houmus Salsa Carmel Harissa EDEN SABRA,,Eden Gourmet,
17,Thon Albacore,,Leader Price,"Produits de la mer,Poissons,Thons,Thons tropicaux,Thons albacore,Thons à l'huile d'olive,Thons en conserve"
